periodo,regiao,instituicao,especialidade,doentes_saidos,dias_internamento,latitude,longitude,demora_media
2015-05,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",Outras Camas,329.0,8327.0,38.708454,-9.216985,25.310030395136778
2015-05,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Outras Camas,150.0,2392.0,41.3031784,-7.7515252,15.946666666666667
2015-05,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE",Outras Camas,116.0,2066.0,41.4387173,-8.3086907,17.810344827586206
2015-05,Região de Saúde Norte,"Hospital de Braga, PPP",Outras Camas,71.0,1470.0,41.56785,-8.398982,20.704225352112676
2015-05,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",Outras Camas,49.0,802.0,41.1794456,-8.6745115,16.367346938775512
2015-05,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE",Outras Camas,34.0,839.0,41.8056532,-6.7888197,24.676470588235293
2015-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",Outras Camas,230.0,3271.0,40.2804158,-7.4922407,14.221739130434782
2015-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",Outras Camas,606.0,7481.0,40.516364,-8.0827433,12.344884488448844
2015-06,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",Outras Camas,172.0,3077.0,38.5283754,-8.8818638,17.88953488372093
2015-06,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE",Outras Camas,170.0,1028.0,41.3423984,-8.4802503,6.047058823529412
2015-06,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Outras Camas,184.0,2821.0,41.3031784,-7.7515252,15.331521739130435
2015-06,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE",Outras Camas,451.0,6713.0,41.1785642,-8.6062881,14.88470066518847
2015-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",Outras Camas,138.0,2036.0,38.014123,-7.8721227,14.753623188405797
2015-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",Outras Camas,168.0,2965.0,38.0162314,-8.6956768,17.648809523809526
2015-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",Outras Camas,642.0,7574.0,40.2191523,-8.4098211,11.797507788161994
2015-07,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE",Outras Camas,544.0,2834.0,40.117897,-8.8586755,5.209558823529412
2015-07,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE",Outras Camas,0.0,1601.0,40.2162514,-8.4103814,
2015-07,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",Outras Camas,451.0,11580.0,38.708454,-9.216985,25.676274944567627
2015-07,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",Outras Camas,1125.0,13572.0,38.6658713,-9.1822554,12.064
2015-07,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",Outras Camas,16.0,1198.0,38.7396768,-9.1634516,74.875
